scenario,site,date,vegetation_cover_pct
Baseline,Site A,2023-04-01,51
Baseline,Site A,2023-07-01,55
Baseline,Site A,2023-10-01,50
Baseline,Site A,2024-01-01,46
Baseline,Site A,2024-04-01,51
Baseline,Site A,2024-07-01,55
Baseline,Site A,2024-10-01,50
Baseline,Site A,2025-01-01,46
Baseline,Site B,2023-04-01,41
Baseline,Site B,2023-07-01,45
Baseline,Site B,2023-10-01,40
Baseline,Site B,2024-01-01,36
Baseline,Site B,2024-04-01,41
Baseline,Site B,2024-07-01,45
Baseline,Site B,2024-10-01,40
Baseline,Site B,2025-01-01,36
Baseline,Site C,2023-04-01,37
Baseline,Site C,2023-07-01,41
Baseline,Site C,2023-10-01,36
Baseline,Site C,2024-01-01,32
Baseline,Site C,2024-04-01,37
Baseline,Site C,2024-07-01,41
Baseline,Site C,2024-10-01,36
Baseline,Site C,2025-01-01,32
Baseline,Site D,2023-04-01,57
Baseline,Site D,2023-07-01,61
Baseline,Site D,2023-10-01,56
Baseline,Site D,2024-01-01,52
Baseline,Site D,2024-04-01,57
Baseline,Site D,2024-07-01,61
Baseline,Site D,2024-10-01,56
Baseline,Site D,2025-01-01,52
Moderate,Site A,2023-04-01,51
Moderate,Site A,2023-07-01,57
Moderate,Site A,2023-10-01,55
Moderate,Site A,2024-01-01,53
Moderate,Site A,2024-04-01,60
Moderate,Site A,2024-07-01,66
Moderate,Site A,2024-10-01,64
Moderate,Site A,2025-01-01,62
Moderate,Site B,2023-04-01,41
Moderate,Site B,2023-07-01,47
Moderate,Site B,2023-10-01,44
Moderate,Site B,2024-01-01,42
Moderate,Site B,2024-04-01,49
Moderate,Site B,2024-07-01,55
Moderate,Site B,2024-10-01,52
Moderate,Site B,2025-01-01,50
Moderate,Site C,2023-04-01,37
Moderate,Site C,2023-07-01,43
Moderate,Site C,2023-10-01,40
Moderate,Site C,2024-01-01,37
Moderate,Site C,2024-04-01,44
Moderate,Site C,2024-07-01,50
Moderate,Site C,2024-10-01,47
Moderate,Site C,2025-01-01,44
Moderate,Site D,2023-04-01,57
Moderate,Site D,2023-07-01,63
Moderate,Site D,2023-10-01,61
Moderate,Site D,2024-01-01,60
Moderate,Site D,2024-04-01,67
Moderate,Site D,2024-07-01,74
Moderate,Site D,2024-10-01,71
Moderate,Site D,2025-01-01,70
Intensive,Site A,2023-04-01,51
Intensive,Site A,2023-07-01,59
Intensive,Site A,2023-10-01,58
Intensive,Site A,2024-01-01,58
Intensive,Site A,2024-04-01,67
Intensive,Site A,2024-07-01,75
Intensive,Site A,2024-10-01,74
Intensive,Site A,2025-01-01,74
Intensive,Site B,2023-04-01,41
Intensive,Site B,2023-07-01,49
Intensive,Site B,2023-10-01,48
Intensive,Site B,2024-01-01,47
Intensive,Site B,2024-04-01,56
Intensive,Site B,2024-07-01,64
Intensive,Site B,2024-10-01,63
Intensive,Site B,2025-01-01,62
Intensive,Site C,2023-04-01,37
Intensive,Site C,2023-07-01,44
Intensive,Site C,2023-10-01,43
Intensive,Site C,2024-01-01,43
Intensive,Site C,2024-04-01,51
Intensive,Site C,2024-07-01,59
Intensive,Site C,2024-10-01,57
Intensive,Site C,2025-01-01,57
Intensive,Site D,2023-04-01,57
Intensive,Site D,2023-07-01,65
Intensive,Site D,2023-10-01,65
Intensive,Site D,2024-01-01,66
Intensive,Site D,2024-04-01,75
Intensive,Site D,2024-07-01,84
Intensive,Site D,2024-10-01,83
Intensive,Site D,2025-01-01,84
