site,date,vegetation_cover_pct,species_richness,soil_moisture_pct
Site A,2023-04-01,51,13,28
Site A,2023-07-01,57,13,23
Site A,2023-10-01,55,14,26
Site A,2024-01-01,53,15,34
Site A,2024-04-01,60,15,28
Site A,2024-07-01,66,16,23
Site A,2024-10-01,64,16,26
Site A,2025-01-01,62,17,34
Site B,2023-04-01,41,11,26
Site B,2023-07-01,47,11,21
Site B,2023-10-01,44,12,24
Site B,2024-01-01,42,13,32
Site B,2024-04-01,49,13,26
Site B,2024-07-01,55,14,21
Site B,2024-10-01,52,14,24
Site B,2025-01-01,50,15,32
Site C,2023-04-01,37,10,24
Site C,2023-07-01,43,10,19
Site C,2023-10-01,40,11,22
Site C,2024-01-01,37,12,30
Site C,2024-04-01,44,12,24
Site C,2024-07-01,50,13,19
Site C,2024-10-01,47,13,22
Site C,2025-01-01,44,14,30
Site D,2023-04-01,57,16,30
Site D,2023-07-01,63,17,25
Site D,2023-10-01,61,18,28
Site D,2024-01-01,60,18,36
Site D,2024-04-01,67,19,30
Site D,2024-07-01,74,20,25
Site D,2024-10-01,71,21,28
Site D,2025-01-01,70,21,36
